SampleID,Zip Code,Ward,Pb Bottle 1 (ppb) - First Draw,Pb Bottle 2 (ppb) - 2 mins flushing
1,48504,6,0.344,0.145
2,48507,9,8.133,2.761
4,48504,1,1.111,0.123
5,48507,8,8.007,3.384
6,48505,3,1.951,0.035
7,48507,9,7.2,0.2
8,48507,9,40.63,6.132
9,48503,5,1.1,0.1
12,48507,9,10.6,1.294
13,48505,3,6.2,2.3
15,48507,9,4.358,0.147
16,48505,5,24.37,4.347
17,48505,2,6.609,1.433
18,48503,7,4.062,1.085
19,48507,9,2.484,0.565
20,48507,9,0.438,0.511
21,48503,5,1.29,0.225
22,48504,6,0.548,0.361
23,48504,2,3.131,0.683
24,48504,6,120,29.71
25,48505,1,2.911,0.237
26,48505,5,16.52,2.762
27,48505,1,1.984,0.712
28,48503,7,5.367,1.616
29,48504,2,5.5,2.4
30,48506,4,0.639,0.194
31,48503,7,6.087,2.13
31,48503,7,10.32,18.19
33,48503,6,66.88,2.082
34,48505,1,20.41,2.344
35,48504,6,109.6,94.52
36,48503,8,5.06,4.088
37,48504,2,2.774,0.264
38,48505,3,4.453,3.523
39,48505,1,0.4,0.7
40,48529,9,0.974,0.118
41,48505,5,3.228,2.222
42,48505,2,12.55,0.12
43,48505,3,0.501,15.14
44,48504,2,2.448,0.288
45,48505,3,5.508,2.621
46,48504,6,1.293,0.281
47,48505,1,4.699,0.329
48,48504,6,6.093,1.458
49,48504,2,0.8,0.5
50,48503,5,1.626,0.327
51,48507,8,2.576,1.48
52,48504,1,2.362,0.339
53,48503,5,1.585,1.232
54,48506,4,3.058,1.169
55,48506,4,2.423,0.373
56,48503,8,30.91,44.6
57,48503,8,4.47,1
58,48505,1,2.172,1.44
59,48505,3,1.8,0.2
63,48503,5,0.965,0.319
65,48505,1,7.636,9.239
66,48506,3,3.158,2.802
67,48503,7,105.3,4.534
68,48506,3,4.476,0.334
69,48504,1,2.828,20.99
71,48503,5,2.481,24.64
72,48507,5,11.52,0.215
73,48507,8,3.784,0.258
74,48503,5,1.344,1.226
75,48504,6,11.93,3.514
76,48507,9,10.96,4.16
77,48504,6,3.341,0.917
78,48503,5,1.229,0.218
79,48503,6,6.3,0.3
79,48503,6,5.153,0.322
80,48504,6,6.054,0.676
82,48504,2,31.14,3.188
83,48504,6,102.7,3.133
84,48504,2,1.38,0.524
85,48505,3,1.132,0.465
87,48507,9,3.232,1.927
88,48532,8,0.507,0.231
90,48506,4,8.561,4.724
91,48505,3,9.997,0.611
92,48504,1,4.152,0.433
93,48504,2,75.82,3.942
95,48506,4,138.8,0.797
96,48507,9,0.8,0.2
97,48504,2,7.244,1.328
98,48506,3,1.621,0.238
99,48505,1,1.032,0.216
100,48504,2,0.866,0.269
101,48504,2,2.525,0.438
102,48505,5,9.408,3.935
103,48505,0,0.739,0.953
104,48505,1,0.9,0.1
105,48504,2,1.403,0.121
106,48503,8,5.655,10.66
107,48505,2,31.06,3.176
108,48506,4,1.469,0.25
109,48505,1,23.85,1.62
110,48505,2,9.766,7.144
111,48505,1,4.69,0.929
112,48505,3,4.066,4.76
113,48505,1,0.846,0.366
114,48505,1,2.054,0.355
115,48506,7,3.744,2.476
116,48507,9,12.9,1.667
117,48505,1,0.543,0.162
118,48503,7,6.877,2.201
119,48505,1,0.552,0.205
121,48506,3,59,0.5
122,48506,4,0.349,0.131
123,48506,4,4.764,1.06
124,48506,4,0.832,0.214
125,48506,4,1.224,0.465
126,48507,9,15.9,2.2
127,48506,4,5.667,0.896
128,48506,4,3.564,2.127
129,48506,4,0.475,0.268
130,48507,9,5.3,0.2
131,48506,4,1.166,0.269
132,48506,4,0.684,0.094
133,48503,8,6.347,0.678
134,48507,9,10.56,4.813
135,48502,5,2.273,3.048
136,48505,1,1.571,0.316
137,48503,8,5.402,1.945
138,48504,6,43.19,4.39
139,48503,8,1.492,0.378
140,48503,5,66.24,8.815
141,48505,1,1.799,0.031
142,48503,8,1.861,0.64
143,48503,8,2.672,1.094
144,48505,1,3.741,0.258
145,48506,4,1.934,0.424
146,48506,4,27.05,0.61
147,48506,4,1.174,4.055
148,48507,9,2.325,0.466
149,48506,4,1.966,0.201
150,48506,4,1.959,0.448
151,48506,4,0.823,0.412
152,48506,4,11.2,12.21
153,48504,2,5.668,3.268
154,48506,4,6.261,0.5
155,48506,4,4.797,1.264
156,48506,4,0.64,0.151
158,48507,9,8.713,50.97
159,48507,9,2.544,0.498
161,48507,9,0.41,0.116
162,48503,7,32.85,9.103
163,48503,7,12.87,6.326
164,48503,8,38.02,38.94
165,48507,9,2.435,1.296
166,48507,9,2.997,1.512
167,48507,9,11,8.688
168,48507,9,6.219,4.202
169,48503,8,8.8,4.5
170,48504,6,8.071,0.839
171,48507,9,3.262,0.252
172,48503,8,2.267,0.391
173,48505,3,0.922,0.491
174,48504,6,27.02,11.37
176,48503,8,0.906,1.052
177,48507,9,2.85,0.951
178,48504,2,1.852,0.422
179,48506,4,5.35,0.595
180,48503,7,25.21,1.019
182,48504,6,15.55,1.861
183,48506,4,0.793,0.391
184,48506,4,5.068,0.489
185,48507,8,26.64,6.619
186,48506,4,1.867,0.175
189,48506,4,19.16,7.719
191,48503,5,28.7,8.6
192,48507,9,20.22,6.677
193,48507,8,2.9,0.7
194,48503,7,18.86,2.548
195,48507,9,2.816,0.362
196,48506,3,118.4,39.99
197,48506,3,27.45,0.533
198,48503,7,1.2,0.1
200,48506,4,4.681,0.456
201,48506,3,11.57,1.782
202,48532,8,6.557,0.371
203,48505,3,3.4,1.7
204,48504,6,0.7,0.2
205,48507,8,158,91.69
206,48506,4,0.977,0.381
207,48503,8,8.471,1.48
208,48507,9,11.47,7.129
209,48503,7,5.228,1.014
210,48507,9,0.956,0.157
211,48504,6,1.671,4.721
212,48507,9,1.152,0.282
213,48507,9,0.5,0.1
214,48503,5,10.74,1.628
215,48507,9,3.9,0.2
216,48507,9,2.149,0.333
217,48506,4,1.1,0.2
218,48507,9,7.087,1.28
219,48505,1,1.329,0.527
220,48507,9,6.2,0.6
221,48505,3,0.8,0.255
222,48503,8,9.3,5
223,48504,2,2.1,0.5
224,48505,1,4.563,2.997
225,48504,2,4.808,1.523
226,48504,2,0.753,0.549
227,48505,1,1.862,0.898
228,48503,7,1.183,0.201
229,48503,7,8.2,2.6
230,48504,6,3.679,0.288
231,48505,1,2.37,3.797
234,48504,2,0.828,0.233
235,48503,7,0.719,0.058
236,48504,1,2.822,0.258
237,48504,8,2.867,0.744
238,48503,7,2.332,1.221
240,48503,8,4.401,1.572
241,48504,6,2.708,0.809
242,48504,6,34.13,1.71
243,48503,7,5.218,0.831
244,48503,7,15.73,3.584
245,48504,6,3.045,0.299
246,48503,7,1.1,0.3
247,48503,7,1.386,0.432
248,48504,6,0.915,0.306
249,48504,6,2.145,3.738
250,48507,8,4.056,0.378
251,48503,7,1.668,2.72
252,48503,7,7.575,1.094
253,48507,8,5.59,2.019
254,48503,5,0.708,0.303
255,48504,6,1.701,1.287
256,48504,6,1.467,0.137
258,48504,2,2.582,61.96
259,48505,2,22.08,9.262
260,48507,8,16.51,7.068
262,48507,8,56.26,1.243
263,48504,6,2.433,1.376
264,48503,7,0.5,0.5
265,48504,6,29.13,6.388
266,48505,1,12.3,0.4
267,48504,6,3.445,0.167
268,48507,9,16.49,9.018
269,48503,7,3.365,1.675
270,48503,7,1.154,0.12
271,48507,9,13.53,4.675
272,48504,6,2.229,0.84
273,48503,7,28.91,3.056
274,48503,7,6.601,0.417
275,48507,9,0.948,0.207
276,48505,3,3.484,0.306
278,48503,7,1.888,0.322
279,48503,7,13.95,8.251
280,48504,6,6.27,1.182
281,48506,7,19.12,7.968
282,48507,9,1.633,0.238
283,48503,7,1.114,0.255
284,48503,7,3.9,0.504
285,48504,1,3.521,0.321
286,48507,9,3.832,0.339
287,48505,3,3.243,0.27
289,48503,7,0.99,0.263
290,48507,9,1.203,1.626
291,48506,3,2.261,0.407
292,48503,4,16.99,3.585
293,48503,7,3.322,1.512
294,48506,4,14.33,0.323
295,48503,7,18.11,4.263
296,48503,7,12.81,1.78
298,48503,7,1.083,0.26
299,48503,7,29.59,1.843
300,48505,1,4.287,4.905
,,,,
Credits:,,,,
The FlintWaterStudy Team at Virginia Tech (lead sampling kits preparation and processing); Dr. Jeffrey Parks and Anurag Mantha for overseeing analysis,,,,
"Our collaborators who helped facilitate sampling (LeeAnne Walters, Melissa Mays, Nayyirah Shariff, Claire McClinton, Curt Guyette, Dr. Laura Sullivan, Pastors Alfred Harris, Rev. Allen Overton)",,,,
Citizens of Flint who participated in the sampling,,,,